feature,psi,ks_stat,ks_pvalue,drift_flag
V2,0.0012323455792381567,0.027899999999999925,2.4390290349367e-17,True
Amount_log,0.0010356228700176102,0.0435,1.519886417398546e-41,True
Amount,0.0002340237110530029,0.0435,1.519886417398546e-41,True
V1,7.013884089473412e-05,0.04841999999999991,2.2428684196111806e-51,True
V3,0.0,0.0,1.0,False
V4,0.0,0.0,1.0,False
V5,0.0,0.0,1.0,False
V6,0.0,0.0,1.0,False
V7,0.0,0.0,1.0,False
V8,0.0,0.0,1.0,False
V9,0.0,0.0,1.0,False
V10,0.0,0.0,1.0,False
V11,0.0,0.0,1.0,False
V12,0.0,0.0,1.0,False
V13,0.0,0.0,1.0,False
V14,0.0,0.0,1.0,False
V15,0.0,0.0,1.0,False
V16,0.0,0.0,1.0,False
V17,0.0,0.0,1.0,False
V18,0.0,0.0,1.0,False
V19,0.0,0.0,1.0,False
V20,0.0,0.0,1.0,False
V21,0.0,0.0,1.0,False
V22,0.0,0.0,1.0,False
V23,0.0,0.0,1.0,False
V24,0.0,0.0,1.0,False
V25,0.0,0.0,1.0,False
V26,0.0,0.0,1.0,False
V27,0.0,0.0,1.0,False
V28,0.0,0.0,1.0,False
Time,0.0,0.0,1.0,False
